iter	Passed	Remaining
802	23542	5775
803	23573	5746
804	23612	5719
805	23641	5690
806	23676	5662
807	23711	5634
808	23742	5605
809	23782	5578
810	23806	5547
811	23840	5519
812	23872	5491
813	23904	5462
814	23931	5432
815	23958	5402
816	23988	5373
817	24016	5343
818	24044	5313
819	24075	5284
820	24104	5255
821	24133	5226
822	24167	5197
823	24201	5169
824	24229	5139
825	24251	5108
826	24290	5081
827	24316	5051
828	24346	5021
829	24374	4992
830	24410	4964
831	24442	4935
832	24475	4906
833	24495	4875
834	24522	4845
835	24554	4816
836	24584	4787
837	24620	4759
838	24644	4729
839	24680	4701
840	24714	4672
841	24750	4644
842	24784	4615
843	24819	4587
844	24846	4557
845	24872	4527
846	24899	4497
847	24933	4469
848	24967	4440
849	25011	4413
850	25040	4384
851	25075	4355
852	25108	4326
853	25132	4296
854	25163	4267
855	25197	4238
856	25224	4209
857	25260	4180
858	25290	4151
859	25318	4121
860	25343	4091
861	25369	4061
862	25399	4032
863	25433	4003
864	25459	3973
865	25484	3943
866	25523	3915
867	25551	3885
868	25577	3855
869	25603	3825
870	25624	3795
871	25649	3765
872	25678	3735
873	25714	3707
874	25740	3677
875	25767	3647
876	25789	3617
877	25812	3586
878	25839	3557
879	25869	3527
880	25903	3498
881	25931	3469
882	25963	3440
883	25991	3410
884	26016	3380
885	26041	3350
886	26074	3321
887	26098	3291
888	26140	3263
889	26167	3234
890	26196	3204
891	26224	3175
892	26248	3145
893	26274	3115
894	26298	3085
895	26322	3055
896	26352	3025
897	26373	2995
898	26402	2966
899	26431	2936
900	26459	2907
901	26490	2878
902	26515	2848
903	26544	2818
904	26567	2788
905	26588	2758
906	26613	2728
907	26639	2699
908	26661	2669
909	26689	2639
910	26718	2610
911	26743	2580
912	26778	2551
913	26799	2521
914	26830	2492
915	26862	2463
916	26887	2433
917	26913	2404
918	26937	2374
919	26965	2344
920	26991	2315
921	27017	2285
922	27048	2256
923	27074	2226
924	27095	2196
925	27121	2167
926	27146	2137
927	27170	2108
928	27192	2078
929	27221	2048
930	27247	2019
931	27271	1989
932	27293	1959
933	27322	1930
934	27341	1900
935	27366	1871
936	27396	1841
937	27418	1812
938	27442	1782
939	27479	1754
940	27510	1724
941	27543	1695
942	27570	1666
943	27602	1637
944	27628	1607
945	27655	1578
946	27685	1549
947	27720	1520
948	27752	1491
949	27786	1462
950	27814	1433
951	27842	1403
952	27870	1374
953	27891	1344
954	27916	1315
955	27943	1286
956	27970	1256
957	27997	1227
958	28020	1197
959	28045	1168
960	28068	1139
961	28099	1109
962	28136	1081
963	28158	1051
964	28190	1022
965	28229	993
966	28269	964
967	28302	935
968	28335	906
969	28365	877
970	28396	848
971	28433	819
972	28461	789
973	28491	760
974	28520	731
975	28555	702
976	28585	672
977	28613	643
978	28644	614
979	28673	585
980	28699	555
981	28726	526
982	28764	497
983	28795	468
984	28826	438
985	28862	409
986	28889	380
987	28911	351
988	28941	321
989	28982	292
990	29010	263
991	29042	234
992	29071	204
993	29101	175
994	29135	146
995	29160	117
996	29190	87
997	29220	58
998	29248	29
999	29282	0
